Gm#,Date,Tm,Location,Opp,W/L,Win,Loss,Save
109,2021-08-04,BOS,Away,DET,W,Rodriguez,Mize,Barnes
110,2021-08-05,BOS,Away,DET,L,Skubal,Perez,
111,2021-08-06,BOS,Away,TOR,L,Manoah,Eovaldi,
112,2021-08-07,BOS,Away,TOR,L-wo,Romano,Barnes,
113,2021-08-07,BOS,Away,TOR,W,Barnes,Cimber,Ottavino
114,2021-08-08,BOS,Away,TOR,L,Dolis,Barnes,Romano
115,2021-08-10,BOS,Home,TBR,L,Kittredge,Barnes,
116,2021-08-11,BOS,Home,TBR,W,Eovaldi,Fleming,
117,2021-08-12,BOS,Home,TBR,L,McHugh,Houck,
118,2021-08-13,BOS,Home,BAL,W,Pivetta,Watkins,Richards
119,2021-08-14,BOS,Home,BAL,W,Sale,Lopez,
120,2021-08-15,BOS,Home,BAL,W,Rodriguez,Akin,
121,2021-08-17,BOS,Away,NYY,L,Abreu,Whitlock,Loaisiga
122,2021-08-17,BOS,Away,NYY,L,Peralta,Eovaldi,Green
123,2021-08-18,BOS,Away,NYY,L,Heaney,Pivetta,Luetge
124,2021-08-20,BOS,Home,TEX,W,Sale,Dunning,
125,2021-08-21,BOS,Home,TEX,L,Lyles,Rodriguez,
126,2021-08-23,BOS,Home,TEX,W-wo,Whitlock,Santana,
127,2021-08-24,BOS,Home,MIN,W,Taylor,Jax,Robles
128,2021-08-25,BOS,Home,MIN,L,Colome,Robles,
129,2021-08-26,BOS,Home,MIN,W,Sale,Gant,
130,2021-08-27,BOS,Away,CLE,W,Rodriguez,Karinchak,Ottavino
131,2021-08-28,BOS,Away,CLE,W,Whitlock,Wittgren,Ottavino
132,2021-08-29,BOS,Away,CLE,L,Shaw,Davis,Clase
133,2021-08-30,BOS,Away,TBR,L,Patino,Pivetta,
134,2021-08-31,BOS,Away,TBR,L,Yarbrough,Peacock,Kittredge
135,2021-09-01,BOS,Away,TBR,W,Whitlock,Fairbanks,Ottavino
136,2021-09-02,BOS,Away,TBR,W,Rodriguez,McClanahan,Richards
137,2021-09-03,BOS,Home,CLE,W,Ottavino,Quantrill,Whitlock
138,2021-09-04,BOS,Home,CLE,W-wo,Ottavino,Shaw,
139,2021-09-05,BOS,Home,CLE,L,Plesac,Crawford,Clase
140,2021-09-06,BOS,Home,TBR,L,McHugh,Whitlock,
141,2021-09-07,BOS,Home,TBR,L,Rasmussen,Rodriguez,
142,2021-09-08,BOS,Home,TBR,W,Richards,Chargois,Robles
143,2021-09-10,BOS,Away,CHW,L,Rodon,Houck,Hendriks
144,2021-09-11,BOS,Away,CHW,W,Whitlock,Wright,Taylor
145,2021-09-12,BOS,Away,CHW,L-wo,Kimbrel,Whitlock,
146,2021-09-13,BOS,Away,SEA,L,Castillo,Brasier,Steckenrider
147,2021-09-14,BOS,Away,SEA,W,Ottavino,Smith,
148,2021-09-15,BOS,Away,SEA,W,Ottavino,Swanson,
149,2021-09-17,BOS,Home,BAL,W,Sale,Akin,
150,2021-09-18,BOS,Home,BAL,W,Houck,Baumann,
151,2021-09-19,BOS,Home,BAL,W,Sawamura,Greene,Richards
152,2021-09-21,BOS,Home,NYM,W,Brasier,Stroman,
153,2021-09-22,BOS,Home,NYM,W,Sale,Walker,
154,2021-09-24,BOS,Home,NYY,L,Cole,Eovaldi,
155,2021-09-25,BOS,Home,NYY,L,Severino,Houck,Chapman
156,2021-09-26,BOS,Home,NYY,L,Green,Richards,Chapman
157,2021-09-28,BOS,Away,BAL,L,Diplan,Sale,Sulser
158,2021-09-29,BOS,Away,BAL,W,Eovaldi,Lowther,
159,2021-09-30,BOS,Away,BAL,L,Wells,Pivetta,
160,2021-10-01,BOS,Away,WSN,W,Rodriguez,Rogers,Robles
161,2021-10-02,BOS,Away,WSN,W,Davis,Rainey,Robles
162,2021-10-03,BOS,Away,WSN,W,Rodriguez,Finnegan,Pivetta
